iter	Passed	Remaining
468	1486	1682
469	1488	1677
470	1489	1673
471	1494	1671
472	1496	1667
473	1499	1664
474	1501	1659
475	1503	1654
476	1504	1650
477	1506	1645
478	1508	1641
479	1510	1636
480	1512	1631
481	1515	1628
482	1517	1624
483	1528	1629
484	1530	1624
485	1532	1620
486	1534	1616
487	1537	1613
488	1540	1609
489	1543	1606
490	1544	1601
491	1546	1597
492	1548	1592
493	1550	1588
494	1552	1583
495	1556	1581
496	1558	1576
497	1559	1572
498	1564	1570
499	1566	1566
500	1568	1561
501	1569	1557
502	1571	1552
503	1573	1548
504	1575	1544
505	1579	1542
506	1582	1539
507	1584	1534
508	1586	1530
509	1588	1525
510	1590	1522
511	1596	1522
512	1599	1518
513	1602	1515
514	1605	1511
515	1606	1507
516	1611	1505
517	1614	1501
518	1615	1497
519	1618	1494
520	1621	1490
521	1630	1492
522	1632	1489
523	1635	1485
524	1637	1481
525	1643	1480
526	1646	1478
527	1648	1474
528	1651	1470
529	1659	1471
530	1661	1467
531	1665	1464
532	1666	1460
533	1668	1455
534	1669	1451
535	1672	1448
536	1674	1443
537	1678	1441
538	1680	1437
539	1685	1435
540	1688	1432
541	1691	1429
542	1692	1424
543	1695	1421
544	1697	1416
545	1699	1413
546	1702	1410
547	1704	1406
548	1706	1402
549	1713	1401
550	1715	1397
551	1719	1395
552	1721	1391
553	1724	1387
554	1729	1386
555	1733	1384
556	1737	1382
557	1740	1378
558	1744	1376
559	1747	1373
560	1749	1369
561	1751	1365
562	1754	1361
563	1762	1362
564	1766	1359
565	1768	1355
566	1774	1355
567	1776	1351
568	1778	1347
569	1780	1343
570	1781	1338
571	1783	1334
572	1785	1330
573	1790	1328
574	1792	1324
575	1794	1320
576	1796	1316
577	1798	1313
578	1800	1308
579	1804	1306
580	1806	1302
581	1808	1298
582	1810	1294
583	1812	1290
584	1816	1288
585	1817	1284
586	1819	1280
587	1821	1276
588	1823	1272
589	1824	1268
590	1826	1263
591	1828	1259
592	1832	1257
593	1833	1253
594	1836	1249
595	1838	1246
596	1840	1242
597	1841	1238
598	1843	1234
599	1846	1230
600	1847	1226
601	1849	1222
602	1851	1218
603	1852	1214
604	1854	1210
605	1856	1206
606	1860	1204
607	1861	1200
608	1863	1196
609	1865	1192
610	1866	1188
611	1868	1184
612	1869	1180
613	1871	1176
614	1875	1174
615	1877	1170
616	1878	1166
617	1880	1162
618	1884	1159
619	1885	1155
620	1890	1154
621	1892	1150
622	1894	1146
623	1895	1142
624	1897	1138
625	1898	1134
626	1900	1130
627	1901	1126
628	1903	1122
629	1905	1119
630	1907	1115
631	1909	1111
632	1910	1107
633	1913	1104
634	1915	1100
635	1918	1098
636	1920	1094
637	1922	1090
638	1925	1087
639	1927	1084
640	1929	1080
641	1931	1076
642	1935	1074
643	1936	1070
644	1938	1066
645	1940	1063
646	1941	1059
647	1943	1055
648	1944	1051
649	1946	1048
650	1951	1045
651	1952	1042
652	1953	1038
653	1955	1034
654	1956	1030
655	1958	1026
656	1959	1023
657	1961	1019
658	1965	1017
659	1967	1013
660	1968	1009
661	1970	1006
662	1972	1002
663	1973	998
664	1975	995
665	1977	991
666	1979	988
667	1980	984
668	1982	980
669	1984	977
670	1986	973
671	1988	970
672	1990	966
673	1994	964
674	1997	961
675	1999	958
676	2002	955
677	2003	951
678	2005	948
679	2010	946
680	2013	942
681	2017	940
682	2021	938
683	2023	934
684	2029	933
685	2031	929
686	2033	926
687	2039	924
688	2041	921
689	2044	918
690	2052	917
691	2054	914
692	2056	911
693	2058	907
694	2063	905
695	2072	905
696	2074	901
697	2076	898
698	2084	897
699	2087	894
700	2089	891
701	2091	887
702	2093	884
703	2094	880
704	2101	879
705	2104	876
706	2107	873
707	2110	870
708	2116	868
709	2117	865
710	2119	861
711	2121	858
712	2126	855
713	2130	853
714	2136	851
715	2138	848
716	2140	844
717	2141	841
718	2144	838
719	2146	834
720	2148	831
721	2150	828
722	2152	824
723	2154	821
724	2155	817
725	2157	814
726	2161	811
727	2162	808
728	2164	804
729	2166	801
730	2167	797
731	2169	794
732	2171	790
733	2172	787
734	2176	784
735	2178	781
736	2180	778
737	2182	774
738	2184	771
739	2186	768
740	2188	764
741	2191	762
742	2193	758
743	2195	755
744	2196	751
745	2198	748
746	2199	745
747	2201	741
748	2203	738
749	2207	735
750	2209	732
751	2211	729
752	2213	726
753	2215	722
754	2217	719
755	2221	716
756	2222	713
757	2224	710
758	2226	706
759	2227	703
760	2229	700
761	2231	696
762	2232	693
763	2236	690
764	2238	687
765	2239	684
766	2241	681
767	2243	677
768	2245	674
769	2248	671
770	2250	668
771	2252	665
772	2254	661
773	2255	658
774	2257	655
775	2258	652
776	2261	648
777	2265	646
778	2267	643
779	2268	639
780	2270	636
781	2272	633
782	2273	630
783	2275	626
784	2276	623
785	2280	620
786	2282	617
787	2283	614
788	2285	611
789	2286	607
790	2289	604
791	2291	601
792	2294	598
793	2297	596
794	2299	592
795	2301	589
796	2303	586
797	2305	583
798	2307	580
799	2311	577
800	2313	574
801	2315	571
802	2316	568
803	2318	565
804	2319	561
805	2321	558
806	2323	555
807	2324	552
808	2326	549
809	2328	546
810	2330	543
811	2331	539
812	2333	536
813	2334	533
814	2338	530
815	2340	527
816	2341	524
817	2342	521
818	2344	518
819	2346	515
820	2348	512
821	2350	508
822	2352	505
823	2354	502
824	2355	499
825	2357	496
826	2358	493
827	2360	490
828	2361	487
829	2362	483
830	2364	480
831	2365	477
832	2368	474
833	2369	471
834	2371	468
835	2372	465
836	2374	462
837	2375	459
838	2377	456
839	2378	453
840	2380	449
841	2383	447
842	2385	444
843	2386	441
844	2388	438
845	2389	435
846	2391	431
847	2392	428
848	2394	425
849	2395	422
850	2399	420
851	2401	417
852	2403	414
853	2404	411
854	2406	408
855	2408	405
856	2409	402
857	2411	399
858	2413	396
859	2415	393
860	2417	390
861	2418	387
862	2420	384
863	2422	381
864	2423	378
865	2427	375
866	2429	372
867	2431	369
868	2432	366
869	2434	363
870	2436	360
871	2437	357
872	2439	354
873	2443	352
874	2445	349
875	2446	346
876	2448	343
877	2450	340
878	2452	337
879	2453	334
880	2457	331
881	2458	328
882	2460	326
883	2462	323
884	2463	320
885	2465	317
886	2466	314
887	2468	311
888	2473	308
889	2475	305
890	2476	302
891	2478	300
892	2479	297
893	2481	294
894	2482	291
895	2483	288
896	2485	285
897	2488	282
898	2490	279
899	2492	276
900	2493	274
901	2497	271
902	2499	268
903	2500	265
904	2503	262
905	2504	259
906	2505	256
907	2507	254
908	2508	251
909	2510	248
910	2512	245
911	2513	242
912	2517	239
913	2518	236
914	2520	234
915	2521	231
916	2523	228
917	2524	225
918	2525	222
919	2527	219
920	2528	216
921	2532	214
922	2533	211
923	2535	208
924	2536	205
925	2538	202
926	2539	200
927	2541	197
928	2542	194
929	2544	191
930	2547	188
931	2549	186
932	2551	183
933	2552	180
934	2554	177
935	2555	174
936	2557	171
937	2558	169
938	2561	166
939	2563	163
940	2565	160
941	2567	158
942	2568	155
943	2570	152
944	2572	149
945	2574	146
946	2577	144
947	2579	141
948	2582	138
949	2584	136
950	2586	133
951	2588	130
952	2589	127
953	2593	125
954	2595	122
955	2596	119
956	2598	116
957	2600	114
958	2602	111
959	2604	108
960	2605	105
961	2609	103
962	2611	100
963	2613	97
964	2614	94
965	2616	92
966	2617	89
967	2620	86
968	2624	83
969	2626	81
970	2630	78
971	2631	75
972	2633	73
973	2635	70
974	2639	67
975	2641	64
976	2643	62
977	2645	59
978	2647	56
979	2648	54
980	2650	51
981	2651	48
982	2656	45
983	2657	43
984	2659	40
985	2660	37
986	2662	35
987	2664	32
988	2665	29
989	2667	26
990	2671	24
991	2673	21
992	2674	18
993	2675	16
994	2677	13
995	2679	10
996	2680	8
997	2682	5
998	2686	2
999	2688	0
